                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3876,                 1.1704,                0.93273,                0.75242,                0.70347,                0.70315,                0.45333,                 1.1818,                 0.6588,                0.84548,             0.00041611,             0.00041611,             0.00041611
                      2,                0.90682,                0.48378,                0.81766,                0.85154,                0.80375,                0.83578,                0.59384,                0.87171,                0.49499,                0.81259,             0.00075033,             0.00075033,             0.00075033
                      3,                0.83258,                0.42293,                0.81034,                0.88663,                0.85474,                0.89497,                0.64668,                0.83431,                0.44431,                0.80769,              0.0010021,              0.0010021,              0.0010021
                      4,                0.79219,                0.39712,                0.80615,                0.94218,                0.85963,                0.91262,                0.66357,                0.80203,                0.41281,                0.80547,             0.00087875,             0.00087875,             0.00087875
                      5,                0.76727,                 0.3792,                0.80357,                0.93885,                0.89028,                0.92706,                0.69024,                0.76326,                0.38192,                0.80042,             0.00087875,             0.00087875,             0.00087875
                      6,                 0.7373,                0.36321,                0.80191,                0.93063,                0.89189,                0.92394,                0.69139,                0.75238,                0.38356,                0.79964,               0.000755,               0.000755,               0.000755
                      7,                0.72226,                0.35214,                0.79982,                 0.9406,                0.88523,                0.93018,                0.70362,                 0.7397,                0.36762,                0.79762,             0.00063125,             0.00063125,             0.00063125
                      8,                0.70661,                0.34244,                0.79768,                0.95541,                0.89861,                0.93606,                0.71036,                0.72296,                0.35281,                0.79553,              0.0005075,              0.0005075,              0.0005075
                      9,                 0.6922,                0.33334,                0.79608,                0.95833,                0.90433,                0.94075,                0.71914,                0.70844,                 0.3424,                0.79487,             0.00038375,             0.00038375,             0.00038375
                     10,                0.67428,                0.32244,                0.79497,                0.97346,                0.91716,                0.94444,                0.73071,                 0.6918,                0.33224,                0.79302,                0.00026,                0.00026,                0.00026
