               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063359,            0.057498,            0.011553,             0.31587,             0.48228,             0.43729,             0.21621,            0.032862,            0.049491,           0.0053232,            0.070005,           0.0033328,           0.0033328
                   1,            0.043801,            0.047941,           0.0052478,             0.84304,             0.53805,             0.56943,             0.34035,            0.026559,            0.042477,           0.0038722,            0.039345,           0.0060062,           0.0060062
                   2,            0.039789,            0.044428,           0.0037783,             0.92047,             0.57298,             0.74966,              0.4547,            0.023224,            0.038911,           0.0031576,           0.0080251,           0.0080196,           0.0080196
                   3,            0.035359,             0.04083,           0.0026278,             0.80797,             0.81493,             0.82245,             0.52009,            0.022178,            0.036451,           0.0017245,             0.00703,             0.00703,             0.00703
                   4,            0.032816,            0.038958,           0.0019655,             0.87226,             0.85188,             0.88588,               0.569,            0.020554,            0.034632,           0.0013657,             0.00703,             0.00703,             0.00703
                   5,            0.030008,            0.037013,           0.0015527,             0.93824,             0.86606,             0.91269,             0.61284,            0.019941,             0.03357,            0.001355,             0.00604,             0.00604,             0.00604
                   6,             0.02776,            0.035134,           0.0013057,             0.94501,             0.89441,             0.92842,             0.63661,            0.019191,            0.032443,          0.00096773,             0.00505,             0.00505,             0.00505
                   7,            0.025907,            0.033861,          0.00098728,             0.95029,             0.90691,             0.93933,             0.65456,            0.018459,            0.031532,          0.00074367,             0.00406,             0.00406,             0.00406
                   8,            0.024746,            0.032774,          0.00082963,              0.9599,             0.90902,             0.94358,             0.65854,            0.017959,            0.030908,          0.00059885,             0.00307,             0.00307,             0.00307
                   9,            0.023854,            0.032282,          0.00066819,             0.95507,             0.90305,             0.94085,             0.66823,            0.017637,            0.030528,          0.00052543,             0.00208,             0.00208,             0.00208
